Utterance,activityId
because,017CDA554B3311E9BEA916071609B6A6
of,017CDA554B3311E9BEA916071609B6A6
his,017CDA554B3311E9BEA916071609B6A6
cast,017CDA554B3311E9BEA916071609B6A6
everyone,017CDA554B3311E9BEA916071609B6A6
in,017CDA554B3311E9BEA916071609B6A6
 ,017CDA554B3311E9BEA916071609B6A6
class,017CDA554B3311E9BEA916071609B6A6
helped,017CDA554B3311E9BEA916071609B6A6
him,017CDA554B3311E9BEA916071609B6A6
when,017CDA554B3311E9BEA916071609B6A6
his,017CDA554B3311E9BEA916071609B6A6
cast,017CDA554B3311E9BEA916071609B6A6
finally,017CDA554B3311E9BEA916071609B6A6
came,017CDA554B3311E9BEA916071609B6A6
off,017CDA554B3311E9BEA916071609B6A6
he,017CDA554B3311E9BEA916071609B6A6
was,017CDA554B3311E9BEA916071609B6A6
a,017CDA554B3311E9BEA916071609B6A6
little,017CDA554B3311E9BEA916071609B6A6
bit,017CDA554B3311E9BEA916071609B6A6
nicer,017CDA554B3311E9BEA916071609B6A6
to,017CDA554B3311E9BEA916071609B6A6
everyone,017CDA554B3311E9BEA916071609B6A6
well,017CDA554B3311E9BEA916071609B6A6
at,017CDA554B3311E9BEA916071609B6A6
least,017CDA554B3311E9BEA916071609B6A6
he,017CDA554B3311E9BEA916071609B6A6
stopped,017CDA554B3311E9BEA916071609B6A6
stealing,017CDA554B3311E9BEA916071609B6A6
their,017CDA554B3311E9BEA916071609B6A6
snacks,017CDA554B3311E9BEA916071609B6A6
every,0AD9CDA54B4211E9BEA916071609B6A6
day,0AD9CDA54B4211E9BEA916071609B6A6
during,0AD9CDA54B4211E9BEA916071609B6A6
recess,0AD9CDA54B4211E9BEA916071609B6A6
 ,0AD9CDA54B4211E9BEA916071609B6A6
abcabcmary,0AD9CDA54B4211E9BEA916071609B6A6
and,0AD9CDA54B4211E9BEA916071609B6A6
their,0AD9CDA54B4211E9BEA916071609B6A6
classmates,0AD9CDA54B4211E9BEA916071609B6A6
played,0AD9CDA54B4211E9BEA916071609B6A6
together,0AD9CDA54B4211E9BEA916071609B6A6
adam,0AD9CDA54B4211E9BEA916071609B6A6
didnt,0AD9CDA54B4211E9BEA916071609B6A6
play,0AD9CDA54B4211E9BEA916071609B6A6
with,0AD9CDA54B4211E9BEA916071609B6A6
anybody,0AD9CDA54B4211E9BEA916071609B6A6
instead,0AD9CDA54B4211E9BEA916071609B6A6
he,0AD9CDA54B4211E9BEA916071609B6A6
tossed,0AD9CDA54B4211E9BEA916071609B6A6
the,0AD9CDA54B4211E9BEA916071609B6A6
playground,0AD9CDA54B4211E9BEA916071609B6A6
balls,0AD9CDA54B4211E9BEA916071609B6A6
over,0AD9CDA54B4211E9BEA916071609B6A6
the,0AD9CDA54B4211E9BEA916071609B6A6
fence,0AD9CDA54B4211E9BEA916071609B6A6
and,0AD9CDA54B4211E9BEA916071609B6A6
threw,0AD9CDA54B4211E9BEA916071609B6A6
the,0AD9CDA54B4211E9BEA916071609B6A6
swings,0AD9CDA54B4211E9BEA916071609B6A6
up,0AD9CDA54B4211E9BEA916071609B6A6
over,0AD9CDA54B4211E9BEA916071609B6A6
the,0AD9CDA54B4211E9BEA916071609B6A6
swing,0AD9CDA54B4211E9BEA916071609B6A6
set,0AD9CDA54B4211E9BEA916071609B6A6
bars,0AD9CDA54B4211E9BEA916071609B6A6
so,0AD9CDA54B4211E9BEA916071609B6A6
no,0AD9CDA54B4211E9BEA916071609B6A6
one,0AD9CDA54B4211E9BEA916071609B6A6
could,0AD9CDA54B4211E9BEA916071609B6A6
swing,0AD9CDA54B4211E9BEA916071609B6A6
he,0AD9CDA54B4211E9BEA916071609B6A6
even,0AD9CDA54B4211E9BEA916071609B6A6
called,0AD9CDA54B4211E9BEA916071609B6A6
the,0AD9CDA54B4211E9BEA916071609B6A6
other,0AD9CDA54B4211E9BEA916071609B6A6
kids,0AD9CDA54B4211E9BEA916071609B6A6
names,0AD9CDA54B4211E9BEA916071609B6A6
and,0AD9CDA54B4211E9BEA916071609B6A6
stole,0AD9CDA54B4211E9BEA916071609B6A6
their,0AD9CDA54B4211E9BEA916071609B6A6
snacks,0AD9CDA54B4211E9BEA916071609B6A6
all,0AD9CDA54B4211E9BEA916071609B6A6
the,0AD9CDA54B4211E9BEA916071609B6A6
kids,0AD9CDA54B4211E9BEA916071609B6A6
at,0AD9CDA54B4211E9BEA916071609B6A6
school,0AD9CDA54B4211E9BEA916071609B6A6
were,0AD9CDA54B4211E9BEA916071609B6A6
afraid,0AD9CDA54B4211E9BEA916071609B6A6
of,0AD9CDA54B4211E9BEA916071609B6A6
him,0AD9CDA54B4211E9BEA916071609B6A6
one,0AD9CDA54B4211E9BEA916071609B6A6
friday,0AD9CDA54B4211E9BEA916071609B6A6
adam,0AD9CDA54B4211E9BEA916071609B6A6
missed,0AD9CDA54B4211E9BEA916071609B6A6
school,0AD9CDA54B4211E9BEA916071609B6A6
and,0AD9CDA54B4211E9BEA916071609B6A6
everyone,0AD9CDA54B4211E9BEA916071609B6A6
enjoyed,0AD9CDA54B4211E9BEA916071609B6A6
recess,0AD9CDA54B4211E9BEA916071609B6A6
abcabcmary,0AD9CDA54B4211E9BEA916071609B6A6
said,0AD9CDA54B4211E9BEA916071609B6A6
recess,0AD9CDA54B4211E9BEA916071609B6A6
should,0AD9CDA54B4211E9BEA916071609B6A6
be,0AD9CDA54B4211E9BEA916071609B6A6
like,0AD9CDA54B4211E9BEA916071609B6A6
this,0AD9CDA54B4211E9BEA916071609B6A6
every,0AD9CDA54B4211E9BEA916071609B6A6
day,0AD9CDA54B4211E9BEA916071609B6A6
they,0AD9CDA54B4211E9BEA916071609B6A6
hoped,0AD9CDA54B4211E9BEA916071609B6A6
adam,0AD9CDA54B4211E9BEA916071609B6A6
would,0AD9CDA54B4211E9BEA916071609B6A6
not,0AD9CDA54B4211E9BEA916071609B6A6
be,0AD9CDA54B4211E9BEA916071609B6A6
back,0AD9CDA54B4211E9BEA916071609B6A6
but,0AD9CDA54B4211E9BEA916071609B6A6
on,0AD9CDA54B4211E9BEA916071609B6A6
monday,0AD9CDA54B4211E9BEA916071609B6A6
he,0AD9CDA54B4211E9BEA916071609B6A6
showed,0AD9CDA54B4211E9BEA916071609B6A6
up,0AD9CDA54B4211E9BEA916071609B6A6
with,0AD9CDA54B4211E9BEA916071609B6A6
a,0AD9CDA54B4211E9BEA916071609B6A6
big,0AD9CDA54B4211E9BEA916071609B6A6
cast,0AD9CDA54B4211E9BEA916071609B6A6
on,0AD9CDA54B4211E9BEA916071609B6A6
his,0AD9CDA54B4211E9BEA916071609B6A6
 ,0AD9CDA54B4211E9BEA916071609B6A6
arm,0AD9CDA54B4211E9BEA916071609B6A6
all,0AD9CDA54B4211E9BEA916071609B6A6
of,0AD9CDA54B4211E9BEA916071609B6A6
the,0AD9CDA54B4211E9BEA916071609B6A6
other,0AD9CDA54B4211E9BEA916071609B6A6
kids,0AD9CDA54B4211E9BEA916071609B6A6
wanted,0AD9CDA54B4211E9BEA916071609B6A6
to,0AD9CDA54B4211E9BEA916071609B6A6
know,0AD9CDA54B4211E9BEA916071609B6A6
what,0AD9CDA54B4211E9BEA916071609B6A6
happened,0AD9CDA54B4211E9BEA916071609B6A6
no,0AD9CDA54B4211E9BEA916071609B6A6
no,0AD9CDA54B4211E9BEA916071609B6A6
one,0AD9CDA54B4211E9BEA916071609B6A6
dared,0AD9CDA54B4211E9BEA916071609B6A6
to,0AD9CDA54B4211E9BEA916071609B6A6
ask,0AD9CDA54B4211E9BEA916071609B6A6
that,0AD9CDA54B4211E9BEA916071609B6A6
day,0AD9CDA54B4211E9BEA916071609B6A6
at,0AD9CDA54B4211E9BEA916071609B6A6
recess,0AD9CDA54B4211E9BEA916071609B6A6
abcabcmary,0AD9CDA54B4211E9BEA916071609B6A6
and,0AD9CDA54B4211E9BEA916071609B6A6
abcabcjackson,0AD9CDA54B4211E9BEA916071609B6A6
ran,0AD9CDA54B4211E9BEA916071609B6A6
out,0AD9CDA54B4211E9BEA916071609B6A6
to,0AD9CDA54B4211E9BEA916071609B6A6
play,0AD9CDA54B4211E9BEA916071609B6A6
they,0AD9CDA54B4211E9BEA916071609B6A6
noticed,0AD9CDA54B4211E9BEA916071609B6A6
abcabcadams,0AD9CDA54B4211E9BEA916071609B6A6
lagging,0AD9CDA54B4211E9BEA916071609B6A6
behind,0AD9CDA54B4211E9BEA916071609B6A6
he,0AD9CDA54B4211E9BEA916071609B6A6
was,0AD9CDA54B4211E9BEA916071609B6A6
abcabcstruggling,0AD9CDA54B4211E9BEA916071609B6A6
to,0AD9CDA54B4211E9BEA916071609B6A6
tie,0AD9CDA54B4211E9BEA916071609B6A6
his,0AD9CDA54B4211E9BEA916071609B6A6
abcabcshoes,0AD9CDA54B4211E9BEA916071609B6A6
should,0AD9CDA54B4211E9BEA916071609B6A6
we,0AD9CDA54B4211E9BEA916071609B6A6
help,0AD9CDA54B4211E9BEA916071609B6A6
him,0AD9CDA54B4211E9BEA916071609B6A6
 ,0AD9CDA54B4211E9BEA916071609B6A6
asked,0AD9CDA54B4211E9BEA916071609B6A6
no,0AD9CDA54B4211E9BEA916071609B6A6
way,0AD9CDA54B4211E9BEA916071609B6A6
said,0AD9CDA54B4211E9BEA916071609B6A6
jason,0AD9CDA54B4211E9BEA916071609B6A6
but,0AD9CDA54B4211E9BEA916071609B6A6
abcabcmary,0AD9CDA54B4211E9BEA916071609B6A6
walked,0AD9CDA54B4211E9BEA916071609B6A6
slowly,0AD9CDA54B4211E9BEA916071609B6A6
over,0AD9CDA54B4211E9BEA916071609B6A6
to,0AD9CDA54B4211E9BEA916071609B6A6
adam,0AD9CDA54B4211E9BEA916071609B6A6
anyway,0AD9CDA54B4211E9BEA916071609B6A6
can,0AD9CDA54B4211E9BEA916071609B6A6
i,0AD9CDA54B4211E9BEA916071609B6A6
help,0AD9CDA54B4211E9BEA916071609B6A6
you,0AD9CDA54B4211E9BEA916071609B6A6
she,0AD9CDA54B4211E9BEA916071609B6A6
asked,0AD9CDA54B4211E9BEA916071609B6A6
adam,0AD9CDA54B4211E9BEA916071609B6A6
looked,0AD9CDA54B4211E9BEA916071609B6A6
up,0AD9CDA54B4211E9BEA916071609B6A6
at,0AD9CDA54B4211E9BEA916071609B6A6
her,0AD9CDA54B4211E9BEA916071609B6A6
and,0AD9CDA54B4211E9BEA916071609B6A6
grunted,0AD9CDA54B4211E9BEA916071609B6A6
abcabcmary,0AD9CDA54B4211E9BEA916071609B6A6
bent,0AD9CDA54B4211E9BEA916071609B6A6
down,0AD9CDA54B4211E9BEA916071609B6A6
and,0AD9CDA54B4211E9BEA916071609B6A6
quickly,0AD9CDA54B4211E9BEA916071609B6A6
tied,0AD9CDA54B4211E9BEA916071609B6A6
his,0AD9CDA54B4211E9BEA916071609B6A6
shoe,0AD9CDA54B4211E9BEA916071609B6A6
then,0AD9CDA54B4211E9BEA916071609B6A6
abcabche,0AD9CDA54B4211E9BEA916071609B6A6
ran,0AD9CDA54B4211E9BEA916071609B6A6
back,0AD9CDA54B4211E9BEA916071609B6A6
to,0AD9CDA54B4211E9BEA916071609B6A6
jason,0AD9CDA54B4211E9BEA916071609B6A6
why,0AD9CDA54B4211E9BEA916071609B6A6
did,0AD9CDA54B4211E9BEA916071609B6A6
you,0AD9CDA54B4211E9BEA916071609B6A6
help,0AD9CDA54B4211E9BEA916071609B6A6
him,0AD9CDA54B4211E9BEA916071609B6A6
asked,0AD9CDA54B4211E9BEA916071609B6A6
jason,0AD9CDA54B4211E9BEA916071609B6A6
hes,0AD9CDA54B4211E9BEA916071609B6A6
never,0AD9CDA54B4211E9BEA916071609B6A6
nice,0AD9CDA54B4211E9BEA916071609B6A6
to,0AD9CDA54B4211E9BEA916071609B6A6
us,0AD9CDA54B4211E9BEA916071609B6A6
abcabcmary,0AD9CDA54B4211E9BEA916071609B6A6
shrugged,0AD9CDA54B4211E9BEA916071609B6A6
maybe,0AD9CDA54B4211E9BEA916071609B6A6
if,0AD9CDA54B4211E9BEA916071609B6A6
were,0AD9CDA54B4211E9BEA916071609B6A6
nice,0AD9CDA54B4211E9BEA916071609B6A6
to,0AD9CDA54B4211E9BEA916071609B6A6
him,0AD9CDA54B4211E9BEA916071609B6A6
hell,0AD9CDA54B4211E9BEA916071609B6A6
start,0AD9CDA54B4211E9BEA916071609B6A6
to,0AD9CDA54B4211E9BEA916071609B6A6
be,0AD9CDA54B4211E9BEA916071609B6A6
a,0AD9CDA54B4211E9BEA916071609B6A6
little,0AD9CDA54B4211E9BEA916071609B6A6
nicer,0AD9CDA54B4211E9BEA916071609B6A6
to,0AD9CDA54B4211E9BEA916071609B6A6
us,0AD9CDA54B4211E9BEA916071609B6A6
over,0AD9CDA54B4211E9BEA916071609B6A6
the,0AD9CDA54B4211E9BEA916071609B6A6
next,0AD9CDA54B4211E9BEA916071609B6A6
few,0AD9CDA54B4211E9BEA916071609B6A6
weeks,0AD9CDA54B4211E9BEA916071609B6A6
adam,0AD9CDA54B4211E9BEA916071609B6A6
needed,0AD9CDA54B4211E9BEA916071609B6A6
help,0AD9CDA54B4211E9BEA916071609B6A6
many,0AD9CDA54B4211E9BEA916071609B6A6
times,0AD9CDA54B4211E9BEA916071609B6A6
because,0AD9CDA54B4211E9BEA916071609B6A6
 ,0AD9CDA54B4211E9BEA916071609B6A6
his,0AD9CDA54B4211E9BEA916071609B6A6
cast,0AD9CDA54B4211E9BEA916071609B6A6
everyone,0AD9CDA54B4211E9BEA916071609B6A6
in,0AD9CDA54B4211E9BEA916071609B6A6
the,0AD9CDA54B4211E9BEA916071609B6A6
class,0AD9CDA54B4211E9BEA916071609B6A6
helped,0AD9CDA54B4211E9BEA916071609B6A6
him,0AD9CDA54B4211E9BEA916071609B6A6
when,0AD9CDA54B4211E9BEA916071609B6A6
his,0AD9CDA54B4211E9BEA916071609B6A6
cast,0AD9CDA54B4211E9BEA916071609B6A6
 ,0AD9CDA54B4211E9BEA916071609B6A6
came,0AD9CDA54B4211E9BEA916071609B6A6
off,0AD9CDA54B4211E9BEA916071609B6A6
abcabcit,0AD9CDA54B4211E9BEA916071609B6A6
was,0AD9CDA54B4211E9BEA916071609B6A6
a,0AD9CDA54B4211E9BEA916071609B6A6
little,0AD9CDA54B4211E9BEA916071609B6A6
bit,0AD9CDA54B4211E9BEA916071609B6A6
nicer,0AD9CDA54B4211E9BEA916071609B6A6
to,0AD9CDA54B4211E9BEA916071609B6A6
everyone,0AD9CDA54B4211E9BEA916071609B6A6
well,0AD9CDA54B4211E9BEA916071609B6A6
at,0AD9CDA54B4211E9BEA916071609B6A6
least,0AD9CDA54B4211E9BEA916071609B6A6
he,0AD9CDA54B4211E9BEA916071609B6A6
stopped,0AD9CDA54B4211E9BEA916071609B6A6
stealing,0AD9CDA54B4211E9BEA916071609B6A6
their,0AD9CDA54B4211E9BEA916071609B6A6
snacks,0AD9CDA54B4211E9BEA916071609B6A6
every,0E1D555C4B4111E9BEA916071609B6A6
day,0E1D555C4B4111E9BEA916071609B6A6
during,0E1D555C4B4111E9BEA916071609B6A6
recess,0E1D555C4B4111E9BEA916071609B6A6
mary,0E1D555C4B4111E9BEA916071609B6A6
jason,0E1D555C4B4111E9BEA916071609B6A6
and,0E1D555C4B4111E9BEA916071609B6A6
their,0E1D555C4B4111E9BEA916071609B6A6
classmates,0E1D555C4B4111E9BEA916071609B6A6
played,0E1D555C4B4111E9BEA916071609B6A6
together,0E1D555C4B4111E9BEA916071609B6A6
adam,0E1D555C4B4111E9BEA916071609B6A6
didnt,0E1D555C4B4111E9BEA916071609B6A6
play,0E1D555C4B4111E9BEA916071609B6A6
with,0E1D555C4B4111E9BEA916071609B6A6
anybody,0E1D555C4B4111E9BEA916071609B6A6
instead,0E1D555C4B4111E9BEA916071609B6A6
he,0E1D555C4B4111E9BEA916071609B6A6
tossed,0E1D555C4B4111E9BEA916071609B6A6
the,0E1D555C4B4111E9BEA916071609B6A6
playground,0E1D555C4B4111E9BEA916071609B6A6
balls,0E1D555C4B4111E9BEA916071609B6A6
over,0E1D555C4B4111E9BEA916071609B6A6
the,0E1D555C4B4111E9BEA916071609B6A6
fence,0E1D555C4B4111E9BEA916071609B6A6
and,0E1D555C4B4111E9BEA916071609B6A6
threw,0E1D555C4B4111E9BEA916071609B6A6
the,0E1D555C4B4111E9BEA916071609B6A6
swings,0E1D555C4B4111E9BEA916071609B6A6
up,0E1D555C4B4111E9BEA916071609B6A6
over,0E1D555C4B4111E9BEA916071609B6A6
the,0E1D555C4B4111E9BEA916071609B6A6
swing,0E1D555C4B4111E9BEA916071609B6A6
set,0E1D555C4B4111E9BEA916071609B6A6
bars,0E1D555C4B4111E9BEA916071609B6A6
so,0E1D555C4B4111E9BEA916071609B6A6
no,0E1D555C4B4111E9BEA916071609B6A6
one,0E1D555C4B4111E9BEA916071609B6A6
could,0E1D555C4B4111E9BEA916071609B6A6
swing,0E1D555C4B4111E9BEA916071609B6A6
he,0E1D555C4B4111E9BEA916071609B6A6
even,0E1D555C4B4111E9BEA916071609B6A6
called,0E1D555C4B4111E9BEA916071609B6A6
the,0E1D555C4B4111E9BEA916071609B6A6
other,0E1D555C4B4111E9BEA916071609B6A6
kids,0E1D555C4B4111E9BEA916071609B6A6
names,0E1D555C4B4111E9BEA916071609B6A6
and,0E1D555C4B4111E9BEA916071609B6A6
